epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,238.155,1.6222,1.93717,1.52812,0.44456,0.28726,0.24206,0.14143,1.34682,1.11101,1.26553,0.00332454,0.00332454,0.00332454
2,457,1.37214,1.23391,1.3278,0.43182,0.41824,0.40768,0.24519,1.23471,1.03125,1.19802,0.00659196,0.00659196,0.00659196
3,679.335,1.30866,1.09519,1.27279,0.52589,0.54513,0.48238,0.29251,1.19535,0.86116,1.16845,0.00979338,0.00979338,0.00979338
4,893.664,1.25982,0.98967,1.24803,0.59295,0.53115,0.5289,0.30916,1.20222,0.87538,1.17614,0.009703,0.009703,0.009703
5,1099.82,1.22647,0.90827,1.22617,0.67399,0.62214,0.64396,0.37818,1.13101,0.78135,1.13204,0.009604,0.009604,0.009604
6,1308.54,1.18024,0.83644,1.19397,0.70595,0.66059,0.69491,0.42254,1.09356,0.72304,1.11065,0.009505,0.009505,0.009505
7,1525.54,1.15253,0.79952,1.17754,0.68717,0.70583,0.71757,0.454,1.09354,0.70203,1.11007,0.009406,0.009406,0.009406
8,1747.63,1.13275,0.76977,1.16483,0.77144,0.74538,0.80438,0.5071,1.06191,0.64067,1.08888,0.009307,0.009307,0.009307
9,1961.96,1.10894,0.74125,1.15046,0.77735,0.75254,0.79211,0.5088,1.0566,0.6567,1.08404,0.009208,0.009208,0.009208
10,2183.18,1.09418,0.72501,1.13981,0.76654,0.74247,0.79305,0.49758,1.07646,0.65361,1.08954,0.009109,0.009109,0.009109
11,2386.54,1.08139,0.7064,1.13271,0.76872,0.76249,0.81203,0.52879,1.03614,0.62618,1.07035,0.00901,0.00901,0.00901
12,2597.48,1.06237,0.68683,1.12031,0.77904,0.76318,0.79404,0.50201,1.0565,0.63391,1.08441,0.008911,0.008911,0.008911
13,2804.03,1.04267,0.66768,1.11078,0.81709,0.77764,0.85004,0.55527,1.0335,0.60726,1.07046,0.008812,0.008812,0.008812
14,3012.79,1.03805,0.65829,1.1074,0.79594,0.78384,0.84006,0.55099,1.02945,0.58685,1.06556,0.008713,0.008713,0.008713
