epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1812.7,1.69732,1.82463,1.3666,0.43914,0.16796,0.17022,0.09669,1.36085,1.08651,1.17017,0.00333234,0.00333234,0.00333234
2,3588.11,1.34022,1.08164,1.14418,0.51826,0.2148,0.22303,0.13078,1.23727,0.93017,1.10123,0.00664368,0.00664368,0.00664368
3,5342.53,1.28062,1.00257,1.11237,0.52095,0.23507,0.24407,0.14253,1.20498,0.89386,1.08583,0.00993302,0.00993302,0.00993302
4,7104.98,1.26185,0.97822,1.10126,0.52151,0.25655,0.28119,0.16858,1.13695,0.81346,1.0556,0.009901,0.009901,0.009901
5,8866.86,1.21602,0.91967,1.07959,0.61081,0.27973,0.30069,0.18285,1.09371,0.76726,1.03613,0.009868,0.009868,0.009868
6,10620.3,1.1834,0.88196,1.06462,0.62518,0.30309,0.32649,0.19924,1.06607,0.73329,1.02377,0.009835,0.009835,0.009835
7,12366.5,1.16056,0.85703,1.05519,0.67131,0.3071,0.3396,0.20861,1.04542,0.71092,1.0153,0.009802,0.009802,0.009802
8,14112.5,1.147,0.8381,1.04815,0.57277,0.33025,0.35377,0.2187,1.02912,0.6921,1.00853,0.009769,0.009769,0.009769
9,15873.5,1.13044,0.8217,1.04236,0.62705,0.34208,0.36608,0.22803,1.01501,0.67636,1.00235,0.009736,0.009736,0.009736
10,17606.5,1.12261,0.81,1.03872,0.61606,0.34807,0.37216,0.23323,1.00525,0.66611,0.99826,0.009703,0.009703,0.009703
11,19353.8,1.11251,0.79756,1.03346,0.59049,0.35451,0.37405,0.23562,0.9968,0.65781,0.99503,0.00967,0.00967,0.00967
12,21114.7,1.10293,0.78759,1.02921,0.59877,0.35439,0.37986,0.24053,0.99121,0.65056,0.99258,0.009637,0.009637,0.009637
13,22875.8,1.09573,0.77986,1.02568,0.56884,0.36477,0.3819,0.24251,0.98595,0.64598,0.9902,0.009604,0.009604,0.009604
14,24735.7,1.08706,0.76901,1.02282,0.58899,0.36522,0.38506,0.24471,0.98281,0.64172,0.98905,0.009571,0.009571,0.009571
15,26482,1.08494,0.76591,1.02186,0.6298,0.36991,0.38728,0.24645,0.97987,0.63822,0.98796,0.009538,0.009538,0.009538
16,28235.9,1.08009,0.76015,1.01907,0.62857,0.37171,0.39009,0.24861,0.97759,0.63519,0.98715,0.009505,0.009505,0.009505
17,29982.5,1.07552,0.75492,1.01657,0.64103,0.36922,0.39195,0.24996,0.97495,0.63236,0.98611,0.009472,0.009472,0.009472
18,31739.5,1.0691,0.75087,1.01454,0.64762,0.36784,0.39426,0.25211,0.97253,0.62998,0.98503,0.009439,0.009439,0.009439
19,33487.5,1.06721,0.74629,1.01311,0.64729,0.37343,0.39676,0.25387,0.97006,0.62731,0.984,0.009406,0.009406,0.009406
20,35249.6,1.06253,0.74221,1.01189,0.64091,0.37774,0.39891,0.25523,0.96786,0.62515,0.98316,0.009373,0.009373,0.009373
21,37001.1,1.06077,0.73891,1.00885,0.65279,0.37585,0.40093,0.25659,0.96582,0.62283,0.9823,0.00934,0.00934,0.00934
